Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane
E3VNM4	Arabidopsis thaliana	Viridiplantae	460		0	False
Q9U1H0	Drosophila melanogaster	Metazoa	1832		0	False
P22141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	198		0	False
Q19203	Caenorhabditis elegans	Metazoa	310		0	False
Q9W1H4	Drosophila melanogaster	Metazoa	747		0	False
O22152	Arabidopsis thaliana	Viridiplantae	229		0	False
P46946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		0	False
Q96AQ6	Homo sapiens	Metazoa	731		0	False
Q9LLC1	Arabidopsis thaliana	Viridiplantae	255		0	False
O14338	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	891		0	False
Q5TKA1	Homo sapiens	Metazoa	542		0	False
G4MWZ7	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	Fungi	702		0	False
Q8VYF7	Arabidopsis thaliana	Viridiplantae	238		0	False
P25039	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	761		0	False
Q8W4F1	Arabidopsis thaliana	Viridiplantae	284		0	False
Q1K8V2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	91		0	False
Q9BRQ5	Homo sapiens	Metazoa	295		0	True
Q5JVF3	Homo sapiens	Metazoa	399		0	False
G5EFY4	Caenorhabditis elegans	Metazoa	286		0	False
Q5SS91	Mus musculus	Metazoa	320		0	True
Q03214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411		0	False
Q9VXG1	Drosophila melanogaster	Metazoa	1959		0	False
P97480	Mus musculus	Metazoa	510		0	False
Q969Z3	Homo sapiens	Metazoa	335		0	False
Q9VX09	Drosophila melanogaster	Metazoa	607		0	False
P15873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258		0	False
Q9FFJ8	Arabidopsis thaliana	Viridiplantae	449		0	False
P24226	Brassica oleracea var. capitata	Viridiplantae	469		0	False
Q76JU9	Mus musculus	Metazoa	300		0	True
Q9UPN3	Homo sapiens	Metazoa	7388		0	False
P0C6S7	Rattus norvegicus	Metazoa	1260		0	False
Q5BJM8	Rattus norvegicus	Metazoa	378		0	True
Q6NL34	Drosophila melanogaster	Metazoa	543		0	False
I6PL68	Oryza sativa subsp. japonica	Viridiplantae	303		0	False
Q12321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		0	False
Q8VE70	Mus musculus	Metazoa	212		0	False
Q8W3L1	Arabidopsis thaliana	Viridiplantae	483		0	False
Q04089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	582		0	False
O01811	Caenorhabditis elegans	Metazoa	377		0	True
Q56XY2	Arabidopsis thaliana	Viridiplantae	298		0	False
Q1MTR4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	424		0	False
P97813	Mus musculus	Metazoa	933		0	False
P22342	Euglena viridis	Other	102		0	False
A0A1P8BH03	Arabidopsis thaliana	Viridiplantae	404		0	False
Q9Y6X4	Homo sapiens	Metazoa	670		0	False
Q9NZD1	Homo sapiens	Metazoa	345		0	True
Q8LBM2	Arabidopsis thaliana	Viridiplantae	131		0	False
Q9UGU0	Homo sapiens	Metazoa	1960		0	False
P35201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	549		0	False
P04817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	590		0	False
Q0VG06	Homo sapiens	Metazoa	881		0	False
Q18616	Caenorhabditis elegans	Metazoa	537		0	False
B8ZXI1	Mus musculus	Metazoa	415		0	False
P38803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334		0	False
Q95QD7	Caenorhabditis elegans	Metazoa	435		0	False
P53724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	139		0	False
Q7SBR3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	86		0	False
O75132	Homo sapiens	Metazoa	1171		0	False
Q8RXD9	Arabidopsis thaliana	Viridiplantae	955		0	False
P0C2B9	Rattus norvegicus	Metazoa	141		0	False
Q91X44	Mus musculus	Metazoa	623		0	False
P0DKH5	Arabidopsis thaliana	Viridiplantae	1288		0	False
Q9VJL6	Drosophila melanogaster	Metazoa	138		0	False
P53958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	396		0	False
Q9P7S9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	194		0	False
Q8NEM7	Homo sapiens	Metazoa	779		0	False
P0C5Y7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	102		0	False
Q9EPB4	Mus musculus	Metazoa	193		0	False
Q9LF24	Arabidopsis thaliana	Viridiplantae	927		0	False
Q9JJD0	Mus musculus	Metazoa	305		0	False
O74331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	363		0	False
Q9DAT5	Mus musculus	Metazoa	417		0	False
P49756	Homo sapiens	Metazoa	843		0	False
Q6YN16	Homo sapiens	Metazoa	418		0	False
P40012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		0	False
Q9M280	Arabidopsis thaliana	Viridiplantae	116		0	False
Q14DK4	Mus musculus	Metazoa	801		0	False
Q9CAI5	Arabidopsis thaliana	Viridiplantae	465		0	False
Q8VZU2	Arabidopsis thaliana	Viridiplantae	304		0	False
Q7DMA9	Arabidopsis thaliana	Viridiplantae	635		0	False
O13699	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	430		0	False
Q8T053	Drosophila melanogaster	Metazoa	434		0	False
O35613	Mus musculus	Metazoa	739		0	False
Q59LY1	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	422		0	False
Q9Z125	Mus musculus	Metazoa	519		0	False
P43582	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211		0	False
P38319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544		0	False
P13712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422		0	False
P22936	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		0	False
P53072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289		0	False
A0A075TXZ1	Penicillium expansum	Fungi	324		0	False
Q5JPI9	Homo sapiens	Metazoa	236		0	False
Q13950	Homo sapiens	Metazoa	521		0	False
Q8C0L9	Mus musculus	Metazoa	675		0	False
P37207	Porphyridium purpureum	Other	162		0	False
Q94AQ8	Arabidopsis thaliana	Viridiplantae	348		0	False
Q7TSH3	Mus musculus	Metazoa	1157		0	False
Q8WVY7	Homo sapiens	Metazoa	318		0	False
P10174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	60		0	True
Q9UJU6	Homo sapiens	Metazoa	430		0	False
Q04868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	273		0	False
Q9UUE5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	675		0	False
Q9C7S5	Arabidopsis thaliana	Viridiplantae	1095		0	True
Q9C002	Homo sapiens	Metazoa	83		0	False
P87112	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2100		0	False
Q16873	Homo sapiens	Metazoa	150		0	True
O23722	Arabidopsis thaliana	Viridiplantae	412		0	False
Q04175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	944		0	False
P41930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	458		0	True
Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785		0	False
Q04377	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	747		0	False
Q8IXP5	Homo sapiens	Metazoa	288		0	False
Q09668	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117		0	False
Q08923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	506		0	False
P16554	Drosophila melanogaster	Metazoa	556		0	False
Q02455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1875		0	False
P32314	Homo sapiens	Metazoa	431		0	False
Q8VY74	Arabidopsis thaliana	Viridiplantae	333		0	False
Q9UTA6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303		0	False
P36528	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		0	False
Q20733	Caenorhabditis elegans	Metazoa	900		0	False
Q9HAI6	Homo sapiens	Metazoa	301		0	False
P32347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362		0	False
Q08202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	246		0	False
P42696	Homo sapiens	Metazoa	430		0	False
Q9UNS2	Homo sapiens	Metazoa	423		0	False
Q969P6	Homo sapiens	Metazoa	601		0	False
Q9Y375	Homo sapiens	Metazoa	327		0	False
P42846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	591		0	False
Q8VDP4	Mus musculus	Metazoa	922		0	False
Q3E7A3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	74		0	True
Q9UJX3	Homo sapiens	Metazoa	565		0	False
Q9CPY0	Mus musculus	Metazoa	246		0	False
Q23064	Caenorhabditis elegans	Metazoa	1041		0	False
Q9ERH4	Mus musculus	Metazoa	427		0	False
Q9ZST9	Pisum sativum	Viridiplantae	252		0	False
Q9W252	Drosophila melanogaster	Metazoa	1318		0	False
P53911	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	425		0	False
P40026	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464		0	False
Q1HTZ9	Aquarana catesbeiana	Metazoa	198		0	False
P57741	Arabidopsis thaliana	Viridiplantae	195		0	False
P53102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219		0	False
Q6P8Z1	Mus musculus	Metazoa	170		0	False
B6RAL1	Penicillium expansum	Fungi	1394		0	False
Q04545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1251		0	False
Q9S7E9	Arabidopsis thaliana	Viridiplantae	481		0	False
P14908	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341		0	False
Q641G7	Xenopus laevis	Metazoa	168		0	False
Q96BP2	Homo sapiens	Metazoa	118		0	False
O60104	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	376		0	False
Q9SJQ6	Arabidopsis thaliana	Viridiplantae	1393		0	False
Q86WA8	Homo sapiens	Metazoa	852		0	False
Q9H4B6	Homo sapiens	Metazoa	383		0	False
G5EDE2	Caenorhabditis elegans	Metazoa	175		0	False
Q96RS6	Homo sapiens	Metazoa	583		0	False
Q8VZS3	Arabidopsis thaliana	Viridiplantae	354		0	False
P40543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		0	False
Q9VRP5	Drosophila melanogaster	Metazoa	1038		0	False
Q92574	Homo sapiens	Metazoa	1164		0	False
Q54XY4	Dictyostelium discoideum	Other	1582		0	False
F4JF14	Arabidopsis thaliana	Viridiplantae	953		0	False
P21145	Homo sapiens	Metazoa	153		0	True
Q9C0U3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	109		0	False
Q90ZS6	Xenopus laevis	Metazoa	1271		0	False
Q8BGD7	Mus musculus	Metazoa	802		0	False
Q7RYV0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	176		0	False
Q9FE22	Arabidopsis thaliana	Viridiplantae	292		0	False
Q5U5X0	Homo sapiens	Metazoa	104		0	False
O94301	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	339		0	False
Q9VW27	Drosophila melanogaster	Metazoa	717		0	False
O13326	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	429		0	False
O04479	Arabidopsis thaliana	Viridiplantae	199		0	False
Q9JKF1	Mus musculus	Metazoa	1657		0	False
P39685	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1337		0	False
O13974	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	329		0	False
Q708Y0	Arabidopsis thaliana	Viridiplantae	623		0	False
Q9H902	Homo sapiens	Metazoa	201		0	True
O94522	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390		0	False
Q497V6	Mus musculus	Metazoa	772		0	False
P53332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		0	False
Q5T9L3	Homo sapiens	Metazoa	541		0	True
P70582	Rattus norvegicus	Metazoa	510		0	False
Q8BJ64	Mus musculus	Metazoa	596		0	False
Q6ZWK4	Homo sapiens	Metazoa	172		0	True
Q99569	Homo sapiens	Metazoa	1192		0	False
Q62318	Mus musculus	Metazoa	834		0	False
P38182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	117		0	False
Q22717	Caenorhabditis elegans	Metazoa	170		0	False
Q8C1E7	Mus musculus	Metazoa	343		0	False
Q689G9	Oryza sativa subsp. japonica	Viridiplantae	518		0	False
O23144	Arabidopsis thaliana	Viridiplantae	612		0	False
Q94BS2	Arabidopsis thaliana	Viridiplantae	335		0	False
Q96B23	Homo sapiens	Metazoa	404		0	False
P53119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	910		0	False
Q62924	Rattus norvegicus	Metazoa	1129		0	False
H2KYU6	Caenorhabditis elegans	Metazoa	529		0	False
Q96FI4	Homo sapiens	Metazoa	390		0	False
Q09685	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	411		0	False
A0A2R6X6S3	Marchantia polymorpha	Viridiplantae	911		0	False
P90838	Caenorhabditis elegans	Metazoa	505		0	False
O43290	Homo sapiens	Metazoa	800		0	False
Q8N328	Homo sapiens	Metazoa	593		0	False
O82743	Arabidopsis thaliana	Viridiplantae	219		0	False
Q7YR75	Bos taurus	Metazoa	198		0	False
P09547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1314		0	False
Q9NY87	Homo sapiens	Metazoa	97		0	False
Q9FM19	Arabidopsis thaliana	Viridiplantae	286		0	False
O54724	Mus musculus	Metazoa	392		0	False
Q9LUJ3	Arabidopsis thaliana	Viridiplantae	163		0	False
Q14241	Homo sapiens	Metazoa	772		0	False
Q8RY95	Arabidopsis thaliana	Viridiplantae	1035		0	False
Q9H9E3	Homo sapiens	Metazoa	785		0	False
P04080	Homo sapiens	Metazoa	98		0	False
P12956	Homo sapiens	Metazoa	609		0	False
Q90ZN1	Gallus gallus	Metazoa	177		0	True
Q64MA3	Oryza sativa subsp. japonica	Viridiplantae	629		0	False
Q21209	Caenorhabditis elegans	Metazoa	702		0	False
Q9V3H8	Drosophila melanogaster	Metazoa	133		0	False
Q08B36	Xenopus laevis	Metazoa	374		0	False
Q8NB16	Homo sapiens	Metazoa	471		0	False
P26755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	122		0	False
Q9V9W8	Drosophila melanogaster	Metazoa	815		0	False
Q9V6Q2	Drosophila melanogaster	Metazoa	225		0	False
Q02336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	434		0	False
Q5VZK9	Homo sapiens	Metazoa	1371		0	False
P13280	Oryctolagus cuniculus	Metazoa	333		0	False
Q2Q5T5	Mus musculus	Metazoa	84		0	True
O94261	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220		0	False
Q9Y605	Homo sapiens	Metazoa	127		0	False
Q9SLD2	Arabidopsis thaliana	Viridiplantae	520		0	False
Q8N4H5	Homo sapiens	Metazoa	51		0	True
Q8I6Z7	Plasmodium falciparum (isolate 3D7)	Other	1139		0	False
Q6L5B5	Oryza sativa subsp. japonica	Viridiplantae	248		0	False
Q9Y3Z3	Homo sapiens	Metazoa	626		0	False
Q3EBC8	Arabidopsis thaliana	Viridiplantae	1388		0	False
O94868	Homo sapiens	Metazoa	740		0	False
Q04847	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553		0	False
Q9BQ69	Homo sapiens	Metazoa	325		0	False
Q6T938	Danio rerio	Metazoa	355		0	False
Q8TEQ6	Homo sapiens	Metazoa	1508		0	False
Q86XK2	Homo sapiens	Metazoa	927		0	False
O21619	Ovis aries	Metazoa	261		0	True
Q8K1Z0	Mus musculus	Metazoa	313		0	False
A2A288	Homo sapiens	Metazoa	527		0	False
P86397	Homo sapiens	Metazoa	168		0	False
P09798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	840		0	False
Q6K678	Oryza sativa subsp. japonica	Viridiplantae	210		0	False
Q80Z30	Rattus norvegicus	Metazoa	750		0	False
Q9Y3E1	Homo sapiens	Metazoa	203		0	False
Q9NYL2	Homo sapiens	Metazoa	800		0	False
Q867Z4	Drosophila melanogaster	Metazoa	970		0	False
Q9UQ35	Homo sapiens	Metazoa	2752		0	False
P18859	Homo sapiens	Metazoa	108		0	False
Q4E657	Trypanosoma cruzi (strain CL Brener)	Other	485		0	False
Q9LUA3	Arabidopsis thaliana	Viridiplantae	122		0	False
Q02884	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	456		0	False
Q02721	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264		0	False
Q99JS0	Mus musculus	Metazoa	100		0	True
Q22037	Caenorhabditis elegans	Metazoa	346		0	False
Q01543	Homo sapiens	Metazoa	452		0	False
Q9VB62	Drosophila melanogaster	Metazoa	609		0	False
Q42418	Arabidopsis thaliana	Viridiplantae	131		0	False
Q5SRY7	Mus musculus	Metazoa	542		0	False
Q15785	Homo sapiens	Metazoa	309		0	False
Q01501	Dictyostelium discoideum	Other	275		0	False
P56282	Homo sapiens	Metazoa	527		0	False
P09596	Spinacia oleracea	Viridiplantae	121		0	False
O14492	Homo sapiens	Metazoa	632		0	False
Q8QG92	Xenopus laevis	Metazoa	824		0	False
Q9USQ4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	396		0	False
Q9LZW2	Arabidopsis thaliana	Viridiplantae	270		0	False
Q8BY35	Mus musculus	Metazoa	655		0	False
Q9LZB8	Arabidopsis thaliana	Viridiplantae	634		0	True
Q13286	Homo sapiens	Metazoa	438		0	True
P34427	Caenorhabditis elegans	Metazoa	962		0	False
O48528	Arabidopsis thaliana	Viridiplantae	159		0	True
Q93YU8	Arabidopsis thaliana	Viridiplantae	796		0	False
B8B0E2	Oryza sativa subsp. indica	Viridiplantae	1246		0	False
K7W9N9	Solanum lycopersicum	Viridiplantae	285		0	False
P39001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	836		0	False
P11115	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	270		0	False
Q0VAA5	Homo sapiens	Metazoa	305		0	False
Q9NY74	Homo sapiens	Metazoa	926		0	False
Q16891	Homo sapiens	Metazoa	758		0	True
Q05921	Mus musculus	Metazoa	735		0	False
Q9VL76	Drosophila melanogaster	Metazoa	613		0	False
P47084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		0	False
Q8T0G4	Drosophila melanogaster	Metazoa	629		0	False
Q9USM3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	418		0	False
Q9S720	Arabidopsis thaliana	Viridiplantae	247		0	False
P47112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604		0	False
O15265	Homo sapiens	Metazoa	892		0	False
Q9Y6N1	Homo sapiens	Metazoa	276		0	False
Q9UJX5	Homo sapiens	Metazoa	808		0	False
Q09725	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1587		0	False
Q9H5U6	Homo sapiens	Metazoa	513		0	False
Q9NZC9	Homo sapiens	Metazoa	954		0	False
Q12487	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	163		0	False
Q6PIU2	Homo sapiens	Metazoa	408		0	True
A4UVI1	Papio anubis	Metazoa	444		0	False
Q810H6	Rattus norvegicus	Metazoa	846		0	False
P38325	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	134		0	True
Q09349	Caenorhabditis elegans	Metazoa	984		0	False
P18583	Homo sapiens	Metazoa	2426		0	False
Q04003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481		0	False
Q9SU25	Arabidopsis thaliana	Viridiplantae	649		0	False
Q9UM63	Homo sapiens	Metazoa	463		0	False
Q9GYU8	Drosophila melanogaster	Metazoa	702		0	False
P61961	Mus musculus	Metazoa	85		0	False
Q96QT6	Homo sapiens	Metazoa	1004		0	False
Q9XIA7	Arabidopsis thaliana	Viridiplantae	54		0	True
Q21443	Caenorhabditis elegans	Metazoa	566		0	False
Q500V5	Arabidopsis thaliana	Viridiplantae	517		0	False
Q2THW7	Rattus norvegicus	Metazoa	715		0	True
P50080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	613		0	True
Q8CII8	Mus musculus	Metazoa	388		0	False
P53307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113		0	False
Q5T1C6	Homo sapiens	Metazoa	240		0	False
Q9CQT7	Mus musculus	Metazoa	168		0	False
Q08230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162		0	False
O35473	Mus musculus	Metazoa	141		0	False
P16522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	626		0	False
P52901	Arabidopsis thaliana	Viridiplantae	389		0	False
Q80ZG2	Rattus norvegicus	Metazoa	678		0	False
Q84JU6	Arabidopsis thaliana	Viridiplantae	927		0	False
Q8BMP6	Mus musculus	Metazoa	525		0	False
Q9M3I4	Spinacia oleracea	Viridiplantae	90		0	False
Q9SQI2	Arabidopsis thaliana	Viridiplantae	1173		0	False
Q14674	Homo sapiens	Metazoa	2120		0	False
Q9Y4P9	Homo sapiens	Metazoa	236		0	False
P30605	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	584		0	True
Q9C5J9	Arabidopsis thaliana	Viridiplantae	342		0	False
Q15287	Homo sapiens	Metazoa	305		0	False
Q8BK30	Mus musculus	Metazoa	104		0	False
Q9BV20	Homo sapiens	Metazoa	369		0	False
Q6NZY4	Homo sapiens	Metazoa	707		0	False
Q62711	Rattus norvegicus	Metazoa	772		0	False
Q9SI37	Arabidopsis thaliana	Viridiplantae	487		0	False
O14246	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	508		0	False
Q6NNL9	Arabidopsis thaliana	Viridiplantae	93		0	False
Q95RA8	Drosophila melanogaster	Metazoa	219		0	False
P39985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1022		0	False
P19659	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1081		0	False
Q8NCN4	Homo sapiens	Metazoa	708		0	False
O95180	Homo sapiens	Metazoa	2353		0	False
Q9VE86	Drosophila melanogaster	Metazoa	353		0	False
P29467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	408		0	False
Q9SX77	Arabidopsis thaliana	Viridiplantae	257		0	False
Q9BW71	Homo sapiens	Metazoa	556		0	False
P34341	Caenorhabditis elegans	Metazoa	821		0	False
Q6ZRQ5	Homo sapiens	Metazoa	1243		0	False
Q9ZR07	Arabidopsis thaliana	Viridiplantae	187		0	False
O94670	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	273		0	False
Q9XIE2	Arabidopsis thaliana	Viridiplantae	1469		0	False
Q04623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	453		0	False
Q60949	Mus musculus	Metazoa	1255		0	False
Q13156	Homo sapiens	Metazoa	261		0	False
Q9VKM1	Drosophila melanogaster	Metazoa	843		0	False
Q10337	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	849		0	False
P0DMU9	Homo sapiens	Metazoa	189		0	False
Q7TNS8	Mus musculus	Metazoa	369		0	False
P31385	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405		0	False
P46938	Mus musculus	Metazoa	488		0	False
P36023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	863		0	False
Q08949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612		0	False
O95900	Homo sapiens	Metazoa	331		0	False
Q9BUE6	Homo sapiens	Metazoa	129		0	False
E9Q5G7	Mus musculus	Metazoa	496		0	False
Q9LE82	Arabidopsis thaliana	Viridiplantae	535		0	False
A1ZAK1	Drosophila melanogaster	Metazoa	1007		0	False
P33308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	149		0	False
Q9H7L9	Homo sapiens	Metazoa	328		0	False
P36163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		0	True
P32898	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	989		0	False
Q38845	Arabidopsis thaliana	Viridiplantae	588		0	False
P11471	Chlamydomonas reinhardtii	Viridiplantae	245		0	False
P38989	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170		0	False
Q9QX75	Rattus norvegicus	Metazoa	687		0	True
Q8R4N0	Mus musculus	Metazoa	338		0	False
P36141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	False
