Accession	Organism	Kingdom	Sequence length	SP cleavage
Q9Y5Q6	Homo sapiens	Metazoa	135	22
Q9Y6C2	Homo sapiens	Metazoa	1016	21
O14625	Homo sapiens	Metazoa	94	21
O14773	Homo sapiens	Metazoa	563	19
O15455	Homo sapiens	Metazoa	904	23
O60602	Homo sapiens	Metazoa	858	20
O60931	Homo sapiens	Metazoa	367	22
P01903	Homo sapiens	Metazoa	254	25
P02462	Homo sapiens	Metazoa	1669	27
P03971	Homo sapiens	Metazoa	560	24
P05067	Homo sapiens	Metazoa	770	17
P05164	Homo sapiens	Metazoa	745	48
P08833	Homo sapiens	Metazoa	259	25
P12273	Homo sapiens	Metazoa	146	28
P12318	Homo sapiens	Metazoa	317	33
P13385	Homo sapiens	Metazoa	188	30
P14384	Homo sapiens	Metazoa	443	17
P14770	Homo sapiens	Metazoa	177	16
P15289	Homo sapiens	Metazoa	507	18
P15309	Homo sapiens	Metazoa	386	32
P19801	Homo sapiens	Metazoa	751	19
P19876	Homo sapiens	Metazoa	107	34
P20160	Homo sapiens	Metazoa	251	19
P20774	Homo sapiens	Metazoa	298	20
P26842	Homo sapiens	Metazoa	260	19
P31358	Homo sapiens	Metazoa	61	24
P33681	Homo sapiens	Metazoa	288	34
P36980	Homo sapiens	Metazoa	270	18
P41271	Homo sapiens	Metazoa	181	16
P43307	Homo sapiens	Metazoa	286	18
P51654	Homo sapiens	Metazoa	580	24
P55058	Homo sapiens	Metazoa	493	17
P59665	Homo sapiens	Metazoa	94	19
Q02809	Homo sapiens	Metazoa	727	18
Q13007	Homo sapiens	Metazoa	206	51
Q13421	Homo sapiens	Metazoa	630	36
Q13433	Homo sapiens	Metazoa	755	28
Q15399	Homo sapiens	Metazoa	786	24
Q6UWI2	Homo sapiens	Metazoa	310	20
Q6UWL6	Homo sapiens	Metazoa	708	20
Q6UWN5	Homo sapiens	Metazoa	251	25
Q6X4U4	Homo sapiens	Metazoa	206	23
Q6ZSA7	Homo sapiens	Metazoa	298	34
Q86Y34	Homo sapiens	Metazoa	549	20
Q8NAC3	Homo sapiens	Metazoa	791	20
Q8NBK3	Homo sapiens	Metazoa	374	33
Q8WWA0	Homo sapiens	Metazoa	313	18
Q969J5	Homo sapiens	Metazoa	263	21
Q96DR8	Homo sapiens	Metazoa	90	20
Q96DU3	Homo sapiens	Metazoa	332	21
Q99944	Homo sapiens	Metazoa	293	25
Q9BZW8	Homo sapiens	Metazoa	370	21
Q9GZZ8	Homo sapiens	Metazoa	138	19
Q9H1M4	Homo sapiens	Metazoa	99	20
Q9H7M9	Homo sapiens	Metazoa	311	32
Q9NR61	Homo sapiens	Metazoa	685	26
Q9NZV1	Homo sapiens	Metazoa	1036	34
Q9UBT3	Homo sapiens	Metazoa	224	18
Q9Y4X3	Homo sapiens	Metazoa	112	24
O43852	Homo sapiens	Metazoa	315	19
O95813	Homo sapiens	Metazoa	267	17
O95866	Homo sapiens	Metazoa	241	17
P00533	Homo sapiens	Metazoa	1210	24
P01189	Homo sapiens	Metazoa	267	26
P01833	Homo sapiens	Metazoa	764	18
P02652	Homo sapiens	Metazoa	100	18
P02790	Homo sapiens	Metazoa	462	23
P04217	Homo sapiens	Metazoa	495	21
P05090	Homo sapiens	Metazoa	189	20
P06681	Homo sapiens	Metazoa	752	20
P06727	Homo sapiens	Metazoa	396	20
P08236	Homo sapiens	Metazoa	651	22
P08603	Homo sapiens	Metazoa	1231	18
P09619	Homo sapiens	Metazoa	1106	32
P13598	Homo sapiens	Metazoa	275	24
P13612	Homo sapiens	Metazoa	1032	33
P13725	Homo sapiens	Metazoa	252	25
P13727	Homo sapiens	Metazoa	222	16
P15516	Homo sapiens	Metazoa	51	19
P17948	Homo sapiens	Metazoa	1338	26
P22301	Homo sapiens	Metazoa	178	18
P22362	Homo sapiens	Metazoa	96	23
P23142	Homo sapiens	Metazoa	703	29
P23515	Homo sapiens	Metazoa	440	24
P25942	Homo sapiens	Metazoa	277	20
P27797	Homo sapiens	Metazoa	417	17
P29460	Homo sapiens	Metazoa	328	22
P40967	Homo sapiens	Metazoa	661	24
P80370	Homo sapiens	Metazoa	383	23
P80748	Homo sapiens	Metazoa	117	17
Q13478	Homo sapiens	Metazoa	541	18
Q15465	Homo sapiens	Metazoa	462	23
Q15762	Homo sapiens	Metazoa	336	18
Q6UX39	Homo sapiens	Metazoa	209	16
Q6UX46	Homo sapiens	Metazoa	152	24
Q6UXH1	Homo sapiens	Metazoa	353	24
Q6UXL0	Homo sapiens	Metazoa	311	29
Q7Z5A7	Homo sapiens	Metazoa	132	43
Q86T13	Homo sapiens	Metazoa	490	21
Q86Y78	Homo sapiens	Metazoa	171	22
Q86YT9	Homo sapiens	Metazoa	394	19
Q8N4F0	Homo sapiens	Metazoa	458	20
Q8N6C8	Homo sapiens	Metazoa	439	23
Q8NBJ9	Homo sapiens	Metazoa	832	18
Q8NBL1	Homo sapiens	Metazoa	392	23
Q8NI17	Homo sapiens	Metazoa	732	19
Q96HF1	Homo sapiens	Metazoa	295	24
Q9BZM5	Homo sapiens	Metazoa	246	25
Q9H9K5	Homo sapiens	Metazoa	563	26
Q9NPF0	Homo sapiens	Metazoa	282	35
Q9NPG1	Homo sapiens	Metazoa	666	22
Q9NR16	Homo sapiens	Metazoa	1453	40
Q9NYY1	Homo sapiens	Metazoa	176	24
Q9UKY0	Homo sapiens	Metazoa	176	25
Q9Y240	Homo sapiens	Metazoa	323	21
Q9Y5U5	Homo sapiens	Metazoa	241	25
O14791	Homo sapiens	Metazoa	398	27
O76076	Homo sapiens	Metazoa	250	23
O95633	Homo sapiens	Metazoa	263	26
P01033	Homo sapiens	Metazoa	207	23
P01148	Homo sapiens	Metazoa	92	23
P01588	Homo sapiens	Metazoa	193	27
P02760	Homo sapiens	Metazoa	352	19
P02763	Homo sapiens	Metazoa	201	18
P02765	Homo sapiens	Metazoa	367	18
P04196	Homo sapiens	Metazoa	525	18
P05113	Homo sapiens	Metazoa	134	19
P07602	Homo sapiens	Metazoa	524	16
P08069	Homo sapiens	Metazoa	1367	30
P08514	Homo sapiens	Metazoa	1039	31
P10163	Homo sapiens	Metazoa	310	16
P11021	Homo sapiens	Metazoa	654	18
P11150	Homo sapiens	Metazoa	499	22
P14209	Homo sapiens	Metazoa	185	22
P15018	Homo sapiens	Metazoa	202	22
P16144	Homo sapiens	Metazoa	1822	27
P20062	Homo sapiens	Metazoa	427	18
P24821	Homo sapiens	Metazoa	2201	22
P26010	Homo sapiens	Metazoa	798	19
P28906	Homo sapiens	Metazoa	385	31
P29320	Homo sapiens	Metazoa	983	20
P29459	Homo sapiens	Metazoa	219	22
P31025	Homo sapiens	Metazoa	176	18
P48307	Homo sapiens	Metazoa	235	22
P51460	Homo sapiens	Metazoa	131	20
P54803	Homo sapiens	Metazoa	685	42
P56202	Homo sapiens	Metazoa	376	21
P60568	Homo sapiens	Metazoa	153	20
P61916	Homo sapiens	Metazoa	151	19
Q01638	Homo sapiens	Metazoa	556	18
Q07092	Homo sapiens	Metazoa	1604	21
Q07654	Homo sapiens	Metazoa	80	21
Q08334	Homo sapiens	Metazoa	325	19
Q5UCC4	Homo sapiens	Metazoa	262	25
Q6UW56	Homo sapiens	Metazoa	229	30
Q8NC67	Homo sapiens	Metazoa	525	22
Q8TD06	Homo sapiens	Metazoa	166	21
Q8TDQ1	Homo sapiens	Metazoa	290	19
Q8WUJ3	Homo sapiens	Metazoa	1361	30
Q92765	Homo sapiens	Metazoa	325	32
Q969P0	Homo sapiens	Metazoa	613	27
Q969Z4	Homo sapiens	Metazoa	430	25
Q96AP7	Homo sapiens	Metazoa	390	29
Q96BF3	Homo sapiens	Metazoa	282	22
Q96LA5	Homo sapiens	Metazoa	508	19
Q99935	Homo sapiens	Metazoa	248	21
Q99969	Homo sapiens	Metazoa	163	20
Q9BWV1	Homo sapiens	Metazoa	1114	30
Q9BX74	Homo sapiens	Metazoa	207	37
Q9BXJ3	Homo sapiens	Metazoa	329	16
Q9H5V8	Homo sapiens	Metazoa	836	29
Q9NPR2	Homo sapiens	Metazoa	837	43
Q9NQ25	Homo sapiens	Metazoa	335	22
Q9NRM6	Homo sapiens	Metazoa	502	17
Q9NS68	Homo sapiens	Metazoa	423	29
Q9NSA1	Homo sapiens	Metazoa	209	28
Q9NZ53	Homo sapiens	Metazoa	605	32
Q9P0V8	Homo sapiens	Metazoa	285	22
Q9P246	Homo sapiens	Metazoa	746	14
Q9P2K2	Homo sapiens	Metazoa	825	27
Q9UBN6	Homo sapiens	Metazoa	386	55
Q9UNE0	Homo sapiens	Metazoa	448	26
O00206	Homo sapiens	Metazoa	839	23
O14786	Homo sapiens	Metazoa	923	21
O43278	Homo sapiens	Metazoa	529	35
O43291	Homo sapiens	Metazoa	252	27
O60609	Homo sapiens	Metazoa	400	31
O60844	Homo sapiens	Metazoa	167	16
O75462	Homo sapiens	Metazoa	422	37
O95715	Homo sapiens	Metazoa	111	34
P00450	Homo sapiens	Metazoa	1065	19
P01137	Homo sapiens	Metazoa	390	29
P01350	Homo sapiens	Metazoa	101	21
P01591	Homo sapiens	Metazoa	159	22
P02810	Homo sapiens	Metazoa	166	16
P02814	Homo sapiens	Metazoa	79	22
P05160	Homo sapiens	Metazoa	661	20
P07204	Homo sapiens	Metazoa	575	18
P09486	Homo sapiens	Metazoa	303	17
P10124	Homo sapiens	Metazoa	158	27
P11215	Homo sapiens	Metazoa	1152	16
P11717	Homo sapiens	Metazoa	2491	40
P13611	Homo sapiens	Metazoa	3396	20
P14625	Homo sapiens	Metazoa	803	21
P17301	Homo sapiens	Metazoa	1181	29
P17813	Homo sapiens	Metazoa	658	25
P18428	Homo sapiens	Metazoa	481	25
P19320	Homo sapiens	Metazoa	739	24
P20333	Homo sapiens	Metazoa	461	22
P22894	Homo sapiens	Metazoa	467	20
P25116	Homo sapiens	Metazoa	425	21
P25311	Homo sapiens	Metazoa	298	20
P32004	Homo sapiens	Metazoa	1257	19
P34998	Homo sapiens	Metazoa	415	23
P51688	Homo sapiens	Metazoa	502	20
P52823	Homo sapiens	Metazoa	247	17
P55083	Homo sapiens	Metazoa	255	21
P55899	Homo sapiens	Metazoa	365	23
P81605	Homo sapiens	Metazoa	110	19
Q08380	Homo sapiens	Metazoa	585	18
Q13145	Homo sapiens	Metazoa	260	20
Q13231	Homo sapiens	Metazoa	466	21
Q13445	Homo sapiens	Metazoa	227	23
Q13651	Homo sapiens	Metazoa	578	21
Q14210	Homo sapiens	Metazoa	128	20
Q15768	Homo sapiens	Metazoa	340	27
Q16552	Homo sapiens	Metazoa	155	23
Q6E0U4	Homo sapiens	Metazoa	476	21
Q6UXB2	Homo sapiens	Metazoa	119	21
Q8N441	Homo sapiens	Metazoa	504	24
Q8N766	Homo sapiens	Metazoa	993	22
Q8TC27	Homo sapiens	Metazoa	787	16
Q8TCT8	Homo sapiens	Metazoa	520	25
Q92643	Homo sapiens	Metazoa	395	27
Q969H8	Homo sapiens	Metazoa	173	31
Q96BY9	Homo sapiens	Metazoa	339	30
Q96F46	Homo sapiens	Metazoa	866	32
Q96HE7	Homo sapiens	Metazoa	468	23
Q99519	Homo sapiens	Metazoa	415	47
Q9BX59	Homo sapiens	Metazoa	468	18
Q9BXJ7	Homo sapiens	Metazoa	453	19
Q9BZR6	Homo sapiens	Metazoa	473	26
Q9H6E4	Homo sapiens	Metazoa	229	22
Q9HBE5	Homo sapiens	Metazoa	538	19
Q9NPA0	Homo sapiens	Metazoa	242	23
Q9NQ34	Homo sapiens	Metazoa	198	33
Q9UHF4	Homo sapiens	Metazoa	553	29
Q9UIK5	Homo sapiens	Metazoa	374	40
Q9UKZ9	Homo sapiens	Metazoa	415	23
Q9Y251	Homo sapiens	Metazoa	543	35
Q9Y279	Homo sapiens	Metazoa	399	19
F1N5C8	Bos taurus	Metazoa	445	22
P01131	Bos taurus	Metazoa	845	21
P02702	Bos taurus	Metazoa	241	19
P0CX77	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	25
P10493	Mus musculus	Metazoa	1245	28
P10820	Mus musculus	Metazoa	554	20
P12024	Drosophila melanogaster	Metazoa	1315	29
P14630	Rattus norvegicus	Metazoa	190	17
P16636	Rattus norvegicus	Metazoa	411	21
P21956	Mus musculus	Metazoa	463	22
P30919	Rattus norvegicus	Metazoa	345	23
P31096	Bos taurus	Metazoa	278	16
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22
P42264	Rattus norvegicus	Metazoa	919	31
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24
Q00954	Rattus norvegicus	Metazoa	218	18
Q01965	Mus musculus	Metazoa	654	47
Q08481	Mus musculus	Metazoa	727	17
Q28173	Bos taurus	Metazoa	416	22
Q61885	Mus musculus	Metazoa	246	28
Q62192	Mus musculus	Metazoa	661	20
Q64385	Mus musculus	Metazoa	432	23
Q7KRU8	Drosophila melanogaster	Metazoa	205	19
Q7TQN3	Mus musculus	Metazoa	571	29
Q8BHP7	Mus musculus	Metazoa	681	32
Q8BPM6	Mus musculus	Metazoa	367	31
Q8BSU2	Mus musculus	Metazoa	246	26
Q8RUW5	Arabidopsis thaliana	Viridiplantae	433	19
Q8SXL2	Drosophila melanogaster	Metazoa	136	24
Q8T1G4	Dictyostelium discoideum	Other	181	19
Q91XZ4	Mus musculus	Metazoa	772	28
Q94K85	Arabidopsis thaliana	Viridiplantae	359	26
Q99372	Rattus norvegicus	Metazoa	870	27
Q9D6Y1	Mus musculus	Metazoa	273	21
Q9ES58	Rattus norvegicus	Metazoa	327	23
Q9GL30	Bos taurus	Metazoa	545	35
O55038	Mus musculus	Metazoa	109	21
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17
P01027	Mus musculus	Metazoa	1663	24
P04925	Mus musculus	Metazoa	254	22
P04937	Rattus norvegicus	Metazoa	2477	24
P07507	Bos taurus	Metazoa	103	19
P08505	Mus musculus	Metazoa	211	24
P12729	Dictyostelium discoideum	Other	168	19
P16382	Mus musculus	Metazoa	810	25
P16882	Mus musculus	Metazoa	650	24
P17164	Rattus norvegicus	Metazoa	462	28
P17697	Bos taurus	Metazoa	439	19
P18181	Mus musculus	Metazoa	240	22
P20826	Mus musculus	Metazoa	273	25
P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20
P45478	Bos taurus	Metazoa	306	27
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	20
P80109	Bos taurus	Metazoa	839	23
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18
Q28143	Bos taurus	Metazoa	456	35
Q61508	Mus musculus	Metazoa	559	19
Q63617	Rattus norvegicus	Metazoa	999	32
Q8C1Q4	Mus musculus	Metazoa	291	21
Q968Z6	Dictyostelium discoideum	Other	557	19
Q9LXD6	Arabidopsis thaliana	Viridiplantae	773	23
Q9SU40	Arabidopsis thaliana	Viridiplantae	587	20
O08795	Mus musculus	Metazoa	521	14
O35310	Mus musculus	Metazoa	311	20
O88917	Rattus norvegicus	Metazoa	1515	24
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19
P01139	Mus musculus	Metazoa	241	18
P02466	Rattus norvegicus	Metazoa	1372	22
P05059	Bos taurus	Metazoa	449	18
P06332	Mus musculus	Metazoa	457	26
P07727	Rattus norvegicus	Metazoa	457	28
P11590	Mus musculus	Metazoa	178	16
P19137	Mus musculus	Metazoa	3083	24
P19427	Bos taurus	Metazoa	201	18
P23389	Bos taurus	Metazoa	646	20
P25236	Rattus norvegicus	Metazoa	385	19
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19
P28798	Mus musculus	Metazoa	589	17
P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	17
P38574	Bos taurus	Metazoa	287	18
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19
P48765	Bos taurus	Metazoa	970	32
P51868	Rattus norvegicus	Metazoa	413	19
P54660	Dictyostelium discoideum	Other	143	22
P54900	Rattus norvegicus	Metazoa	215	29
Q01129	Rattus norvegicus	Metazoa	354	16
Q05928	Mus musculus	Metazoa	177	31
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46
Q556R7	Dictyostelium discoideum	Other	303	24
Q61789	Mus musculus	Metazoa	3330	31
Q6IUU3	Rattus norvegicus	Metazoa	750	32
Q6QD51	Rattus norvegicus	Metazoa	949	27
Q71DJ5	Arabidopsis thaliana	Viridiplantae	393	20
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	28
Q8VCS0	Mus musculus	Metazoa	530	22
Q9ERQ6	Rattus norvegicus	Metazoa	571	30
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17
Q9NAX4	Dictyostelium discoideum	Other	464	17
Q9R1T7	Rattus norvegicus	Metazoa	200	20
Q9Z0K8	Mus musculus	Metazoa	512	23
B8JLQ9	Danio rerio	Metazoa	363	24
G5ED35	Caenorhabditis elegans	Metazoa	135	20
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22
O35701	Mus musculus	Metazoa	481	27
O54861	Rattus norvegicus	Metazoa	825	31
O88188	Mus musculus	Metazoa	162	19
P00687	Mus musculus	Metazoa	511	15
P07141	Mus musculus	Metazoa	552	32
P08796	Dictyostelium discoideum	Other	514	19
P09470	Mus musculus	Metazoa	1312	34
P14925	Rattus norvegicus	Metazoa	976	25
P16235	Rattus norvegicus	Metazoa	700	26
P18761	Mus musculus	Metazoa	317	17
P19324	Mus musculus	Metazoa	417	17
P20068	Rattus norvegicus	Metazoa	169	22
P21570	Mus musculus	Metazoa	145	24
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20
P28825	Mus musculus	Metazoa	747	20
P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20
P34115	Dictyostelium discoideum	Other	730	20
P35053	Rattus norvegicus	Metazoa	558	23
P56722	Bos taurus	Metazoa	979	34
Q02596	Mus musculus	Metazoa	151	19
Q05895	Mus musculus	Metazoa	956	21
Q5XM24	Dictyostelium discoideum	Other	494	18
Q62813	Rattus norvegicus	Metazoa	338	28
Q62867	Rattus norvegicus	Metazoa	317	24
Q868Z9	Drosophila melanogaster	Metazoa	2898	26
Q8WMP9	Bos taurus	Metazoa	407	29
Q924B5	Rattus norvegicus	Metazoa	250	25
Q99ML8	Mus musculus	Metazoa	113	23
Q9QYH7	Rattus norvegicus	Metazoa	117	23
Q9Z1K9	Rattus norvegicus	Metazoa	827	17
A5HAK0	Danio rerio	Metazoa	149	22
O55232	Rattus norvegicus	Metazoa	130	32
P01830	Rattus norvegicus	Metazoa	161	19
P01888	Bos taurus	Metazoa	118	20
P04639	Rattus norvegicus	Metazoa	259	18
P11438	Mus musculus	Metazoa	406	24
P11654	Rattus norvegicus	Metazoa	1886	25
P11911	Mus musculus	Metazoa	220	28
P15247	Mus musculus	Metazoa	144	18
P15261	Mus musculus	Metazoa	477	25
P22388	Rattus norvegicus	Metazoa	202	25
P24807	Mus musculus	Metazoa	76	26
P27773	Mus musculus	Metazoa	505	24
P28088	Bos taurus	Metazoa	441	26
P31836	Bos taurus	Metazoa	853	19
P33487	Arabidopsis thaliana	Viridiplantae	198	33
P49259	Bos taurus	Metazoa	1463	20
P55203	Bos taurus	Metazoa	1110	56
P61312	Rattus norvegicus	Metazoa	146	25
P81160	Drosophila melanogaster	Metazoa	54	21
P83869	Drosophila melanogaster	Metazoa	46	22
P97710	Rattus norvegicus	Metazoa	509	31
Q00657	Rattus norvegicus	Metazoa	2326	29
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19
Q09098	Mus musculus	Metazoa	99	23
Q23997	Drosophila melanogaster	Metazoa	452	18
Q4V4I9	Drosophila melanogaster	Metazoa	182	22
Q62598	Rattus norvegicus	Metazoa	687	17
Q63372	Rattus norvegicus	Metazoa	1530	30
Q63415	Rattus norvegicus	Metazoa	937	45
Q76BW5	Oryza sativa subsp. japonica	Viridiplantae	290	25
Q86IV5	Dictyostelium discoideum	Other	258	21
Q8WML4	Bos taurus	Metazoa	580	22
Q99MA2	Rattus norvegicus	Metazoa	674	22
Q9JI59	Mus musculus	Metazoa	298	28
Q9R100	Mus musculus	Metazoa	827	25
Q9SUQ8	Arabidopsis thaliana	Viridiplantae	187	29
Q9V496	Drosophila melanogaster	Metazoa	3351	25
Q9VA83	Drosophila melanogaster	Metazoa	227	19
Q9VG55	Drosophila melanogaster	Metazoa	191	24
Q9VH14	Drosophila melanogaster	Metazoa	210	27
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18
Q9Z0L3	Mus musculus	Metazoa	485	17
A0A7J6K7I9	Toxoplasma gondii	Other	553	64
C7G3K3	Liocheles australasiae	Metazoa	80	21
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26
O64411	Zea mays	Viridiplantae	500	28
O97939	Sus scrofa	Metazoa	1142	38
P01269	Sus scrofa	Metazoa	115	25
P02779	Oryctolagus cuniculus	Metazoa	91	21
P07981	Hypocrea jecorina	Fungi	459	22
P09479	Gallus gallus	Metazoa	456	20
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	21
P0C8G7	Pomacea canaliculata	Metazoa	286	30
P0CS93	Gibberella zeae	Fungi	680	24
P22412	Sus scrofa	Metazoa	409	16
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20
P35495	Sus scrofa	Metazoa	133	24
P42292	Gallus gallus	Metazoa	588	33
P48819	Sus scrofa	Metazoa	459	19
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14
Q09131	Glycine max	Viridiplantae	464	30
Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	18
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	274	25
Q86LE5	Rhipicephalus microplus	Metazoa	110	20
Q8X150	Gaeumannomyces tritici	Fungi	618	16
Q9LRC8	Scutellaria baicalensis	Viridiplantae	527	25
Q9TVX3	Olivierus martensii	Metazoa	61	28
U6BLZ9	Penicillium canescens	Fungi	463	26
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21
A0A7M6UMR7	Apis mellifera	Metazoa	1010	16
A6XMY0	Hyas araneus	Metazoa	64	25
C0H9B6	Salmo salar	Metazoa	413	19
F1NSM7	Gallus gallus	Metazoa	743	18
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19
K9L4P7	Penicillium chrysogenum	Fungi	604	18
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24
O18998	Oryctolagus cuniculus	Metazoa	281	21
O42807	Aspergillus niger	Fungi	281	21
O64392	Triticum aestivum	Viridiplantae	146	21
O76818	Agrotis ipsilon	Metazoa	193	19
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20
P0C8G6	Pomacea canaliculata	Metazoa	565	26
P10764	Ovis aries	Metazoa	179	24
P30440	Felis catus	Metazoa	109	17
P30659	Lutzomyia longipalpis	Metazoa	86	23
P45561	Sus scrofa	Metazoa	189	16
P53366	Sus scrofa	Metazoa	188	21
P58154	Lymnaea stagnalis	Metazoa	229	19
P79208	Ovis aries	Metazoa	603	16
P93484	Pisum sativum	Viridiplantae	623	22
Q00193	Oryctolagus cuniculus	Metazoa	540	24
Q52085	Heterostelium pallidum	Other	320	19
Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18
Q6IWZ0	Aplysia californica	Metazoa	535	18
Q84ZX5	Artemisia vulgaris	Viridiplantae	132	24
Q8GT41	Platanus acerifolia	Viridiplantae	179	23
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23
Q9NJ98	Manduca sexta	Metazoa	487	19
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22
A0A1S3PBB7	Salmo salar	Metazoa	375	23
A6MEY4	Bungarus fasciatus	Metazoa	145	27
C0HKM3	Conus purpurascens	Metazoa	458	18
H6U1I8	Tanacetum cinerariifolium	Viridiplantae	365	27
O01949	Aedes aegypti	Metazoa	273	19
P01165	Sus scrofa	Metazoa	207	22
